,Year,Stepback FGM,Stepback FGA,Pullup FGM,Pullup FGA,FGM,FGA,FG%,Pullup%,Stepback%
0,08-09,4.0,4.0,4.0,7.0,8.0,11.0,72.72999999999999,57.14,100.0
1,09-10,3.0,9.0,2.0,3.0,5.0,12.0,41.67,66.67,33.33
2,10-11,1.0,1.0,5.0,6.0,6.0,7.0,85.71,83.33,100.0
3,11-12,0.0,0.0,1.0,1.0,1.0,1.0,100.0,100.0,0.0
4,12-13,2.0,5.0,4.0,5.0,6.0,10.0,60.0,80.0,40.0
5,13-14,3.0,6.0,4.0,9.0,7.0,15.0,46.67,44.440000000000005,50.0
6,14-15,3.0,9.0,0.0,2.0,3.0,11.0,27.27,0.0,33.33
7,15-16,2.0,10.0,8.0,15.0,10.0,25.0,40.0,53.33,20.0
8,16-17,12.0,24.0,12.0,22.0,24.0,46.0,52.17,54.55,50.0
9,17-18,20.0,49.0,13.0,30.0,33.0,79.0,41.77,43.33,40.82
10,18-19,24.0,50.0,14.0,43.0,38.0,93.0,40.86,32.56,48.0
11,19-20,23.0,55.0,28.0,75.0,51.0,130.0,39.23,37.330000000000005,41.82
12,20-21,17.0,43.0,16.0,50.0,33.0,93.0,35.480000000000004,32.0,39.53
13,21-22,11.0,51.0,29.0,83.0,40.0,134.0,29.849999999999998,34.94,21.57
14,22-23,5.0,33.0,34.0,88.0,39.0,121.0,32.23,38.64,15.15
